,gene,pLI
416,CAPN6,0.81903
417,COL6A3,1.8131000000000002e-20
418,VPS13D,1.0748999999999999e-06
419,BCAM,1.1031999999999999e-08
420,COL4A2,3.5842e-15
421,MIF4GD,6.7828e-09
422,CHRNG,3.3338e-19
423,KDM1A,0.9966700000000001
424,POMC,0.00011658
425,KDM6A,1.0
426,SIRPG,3.4759999999999997e-15
427,WDR37,0.56642
428,PKHD1,1.1656999999999998e-47
429,SPTBN5,8.222399999999997e-118
430,TELO2,7.2029e-14
431,MORN3,1.5357000000000002e-07
432,ITPKC,0.15241
433,EFTUD1P1,[]
434,MYH2,3.6703000000000005e-23
435,ADNP,1.0
436,TPM2,0.00023947
437,TMEM231,3.1399e-07
438,USP1,0.9969100000000001
439,CELSR1,0.9999399999999999
440,CHRNB1,5.0456000000000005e-08
441,NOVA1,0.99621
442,MUC16,8.270299999999998e-112
443,ECEL1,4.7923e-13
444,PTPN5,0.0014227999999999999
445,HCN4,0.9986700000000001
446,PYROXD1,6.2976e-09
447,NT5C,0.0027291999999999998
448,NPHP1,1.241e-17
449,CASK,1.0
450,KDM6B,1.0
451,CHRNA2,6.453200000000001e-10
452,NAGLU,1.3654999999999999e-08
453,PCOLCE2,5.4571e-11
454,BGN,0.45228999999999997
455,SBF1,0.9993299999999999
456,PUM1,1.0
457,MICAL2,2.1766e-12
458,LRP2,0.9999899999999999
459,TTC7A,1.5359000000000002e-31
460,DVL2,1.3575999999999998e-05
461,FOXE1,0.79203
462,PAPOLG,0.9979
463,OTOP2,3.5925e-14
464,IFIH1,6.9819e-44
465,NRSN1,0.00030819
466,ZNF292,1.0
467,PKD1,1.0
468,SKI,0.9990100000000001
469,CSNK2A1,0.98711
470,ASXL1,1.2511e-14
471,COL7A1,2.4411e-40
472,SMG6,0.98164
473,ITGB4,9.528700000000002e-19
474,DBH,3.3352e-10
475,SPOP,0.9992200000000001
476,ATP5H,0.00045999
477,FRMD7,0.72983
478,PDE4D,0.9998
479,CYP11B1,8.245e-07
480,ADAMTSL3,1.3662000000000002e-19
481,FAM186A,8.3001e-27
482,SEC14L5,5.092699999999999e-22
483,CHMP4B,0.9577100000000001
484,AGRN,5.4727e-07
485,REEP1,0.9863200000000001
486,ARHGAP32,0.9997799999999999
487,ACTG2,0.071036
488,MED14,1.0
489,CHKB,3.7830999999999995e-07
490,TAP2,6.799e-08
491,EHMT1,1.0
492,ADAMTS13,5.1408999999999996e-15
493,AKNA,0.00012945
494,PIK3C2A,0.010126000000000001
495,NUBPL,1.0705e-05
496,WFS1,1.6230999999999999e-38
497,BCAP31,0.43366000000000005
498,SLC16A2,0.9882799999999999
499,SF3B4,0.9917600000000001
500,MYH3,6.7197e-21
