,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
176,GMPPB,8.437000000000001e-07,0.67389,0.431,1.092
177,HIVEP2,1.0,0.025372,0.009,0.08
178,DROSHA,0.093176,0.23908000000000001,0.167,0.347
179,ANK3,1.0,0.049308,0.028,0.089
180,TNFAIP3,0.99972,0.062105999999999995,0.024,0.196
181,RANBP2,1.0,0.085586,0.053,0.142
182,RARS2,7.7352e-14,0.6694399999999999,0.492,0.923
183,FBXO11,1.0,0.02046,0.006,0.097
184,MAGEL2,0.97506,0.09915,0.04,0.312
185,AGT,4.9706e-08,0.89384,0.572,1.445
186,DALRD3,1.6886000000000002e-10,0.7708,0.532,1.143
187,ADGRL3,[],[],[],[]
188,SLC12A6,0.011377,0.26327,0.179,0.395
189,INPPL1,0.0023313,0.28188,0.192,0.423
190,OTOP3,3.6938e-11,0.78428,0.546,1.151
191,MFN2,0.99415,0.13395,0.069,0.282
192,WHSC1,1.0,0.045949000000000004,0.02,0.119
193,SPTB,1.0,0.080201,0.047,0.14
194,GRB2,0.93934,0.07525599999999999,0.026,0.357
195,PLK3,1.8503999999999999e-06,0.46297,0.309,0.713
196,TNFSF18,0.00019152,0.85556,0.466,1.627
197,CLCN1,3.2501e-20,0.75546,0.58,0.994
198,CSPP1,3.2599999999999997e-29,0.74378,0.598,0.931
199,OFD1,0.95968,0.17119,0.096,0.322
200,TMEM108,0.99555,0.0,0.0,0.187
201,RYR1,1.5944e-29,0.38498000000000004,0.326,0.456
202,CIC,0.9999899999999999,0.080123,0.038,0.183
203,MED12,1.0,0.022555000000000002,0.008,0.071
204,FREM2,3.5958e-11,0.36258,0.279,0.475
205,KIF7,2.2711e-22,0.71773,0.561,0.926
206,HCLS1,1.3157e-06,0.47634,0.318,0.733
207,GABRA1,0.91489,0.14198,0.064,0.367
208,DNAJC13,1.0,0.13129000000000002,0.089,0.197
209,AHI1,1.0773e-25,0.74665,0.591,0.95
210,PHF8,0.99785,0.12495999999999999,0.064,0.263
211,MEIS1,0.99951,0.0,0.0,0.136
212,RAC3,0.0026125,0.6037899999999999,0.314,1.266
213,NUP188,0.9542799999999999,0.20437,0.143,0.297
214,GPX4,4.7865e-05,0.7088399999999999,0.415,1.278
215,CTCF,0.9999399999999999,0.031238,0.01,0.148
216,KIAA0930,6.9792e-05,0.4973,0.306,0.844
217,PADI2,4.9471e-11,0.62389,0.445,0.891
218,SAP30L,0.0014279000000000002,0.5541699999999999,0.302,1.094
219,SAE1,0.9876,0.056612,0.019,0.269
